Gradient step: 0 	 Performance: 0.06 	 Training loss: 3.29
Gradient step: 24 	 Performance: 0.06 	 Training loss: 19.24
Gradient step: 49 	 Performance: 0.07 	 Training loss: 14.71
Gradient step: 74 	 Performance: 0.03 	 Training loss: 13.71
Gradient step: 99 	 Performance: 0.05 	 Training loss: 12.61
Gradient step: 124 	 Performance: 0.05 	 Training loss: 11.42
Gradient step: 149 	 Performance: 0.065 	 Training loss: 10.23
Gradient step: 174 	 Performance: 0.04 	 Training loss: 8.67
Gradient step: 199 	 Performance: 0.09 	 Training loss: 7.23
Gradient step: 224 	 Performance: 0.16 	 Training loss: 6.45
Gradient step: 249 	 Performance: 0.245 	 Training loss: 6.00
Gradient step: 274 	 Performance: 0.285 	 Training loss: 5.72
Gradient step: 299 	 Performance: 0.33 	 Training loss: 5.48
Gradient step: 324 	 Performance: 0.475 	 Training loss: 5.15
Gradient step: 349 	 Performance: 0.56 	 Training loss: 4.97
Gradient step: 374 	 Performance: 0.37 	 Training loss: 4.76
Gradient step: 399 	 Performance: 0.585 	 Training loss: 4.55
Gradient step: 424 	 Performance: 0.525 	 Training loss: 4.32
Gradient step: 449 	 Performance: 0.675 	 Training loss: 4.20
Gradient step: 474 	 Performance: 0.655 	 Training loss: 4.04
Gradient step: 499 	 Performance: 0.54 	 Training loss: 3.83
Gradient step: 524 	 Performance: 0.675 	 Training loss: 3.67
Gradient step: 549 	 Performance: 0.725 	 Training loss: 3.53
Gradient step: 574 	 Performance: 0.665 	 Training loss: 3.39
Gradient step: 599 	 Performance: 0.805 	 Training loss: 3.28
Gradient step: 624 	 Performance: 0.69 	 Training loss: 3.16
Gradient step: 649 	 Performance: 0.79 	 Training loss: 2.98
Gradient step: 674 	 Performance: 0.76 	 Training loss: 2.88
Gradient step: 699 	 Performance: 0.77 	 Training loss: 2.80
Gradient step: 724 	 Performance: 0.715 	 Training loss: 2.69
Gradient step: 749 	 Performance: 0.81 	 Training loss: 2.61
Gradient step: 774 	 Performance: 0.775 	 Training loss: 2.51
Gradient step: 799 	 Performance: 0.775 	 Training loss: 2.40
Gradient step: 824 	 Performance: 0.76 	 Training loss: 2.38
Gradient step: 849 	 Performance: 0.775 	 Training loss: 2.22
Gradient step: 874 	 Performance: 0.8 	 Training loss: 2.27
Gradient step: 899 	 Performance: 0.73 	 Training loss: 2.13
Gradient step: 924 	 Performance: 0.785 	 Training loss: 2.04
Gradient step: 949 	 Performance: 0.755 	 Training loss: 1.96
Gradient step: 974 	 Performance: 0.79 	 Training loss: 1.95
Gradient step: 999 	 Performance: 0.785 	 Training loss: 1.84
Gradient step: 1024 	 Performance: 0.82 	 Training loss: 1.85
Gradient step: 1049 	 Performance: 0.8 	 Training loss: 1.80
Gradient step: 1074 	 Performance: 0.845 	 Training loss: 1.72
Gradient step: 1099 	 Performance: 0.785 	 Training loss: 1.69
Gradient step: 1124 	 Performance: 0.82 	 Training loss: 1.66
Gradient step: 1149 	 Performance: 0.775 	 Training loss: 1.71
Gradient step: 1174 	 Performance: 0.815 	 Training loss: 1.56
Gradient step: 1199 	 Performance: 0.835 	 Training loss: 1.56
Gradient step: 1224 	 Performance: 0.785 	 Training loss: 1.55
Gradient step: 1249 	 Performance: 0.775 	 Training loss: 1.50
Gradient step: 1274 	 Performance: 0.835 	 Training loss: 1.53
Gradient step: 1299 	 Performance: 0.805 	 Training loss: 1.42
Gradient step: 1324 	 Performance: 0.825 	 Training loss: 1.38
Gradient step: 1349 	 Performance: 0.825 	 Training loss: 1.38
Gradient step: 1374 	 Performance: 0.82 	 Training loss: 1.32
Gradient step: 1399 	 Performance: 0.81 	 Training loss: 1.29
Gradient step: 1424 	 Performance: 0.79 	 Training loss: 1.28
Gradient step: 1449 	 Performance: 0.855 	 Training loss: 1.29
Gradient step: 1474 	 Performance: 0.83 	 Training loss: 1.28
Gradient step: 1499 	 Performance: 0.805 	 Training loss: 1.27
Gradient step: 1524 	 Performance: 0.795 	 Training loss: 1.28
Gradient step: 1549 	 Performance: 0.8 	 Training loss: 1.27
Gradient step: 1574 	 Performance: 0.85 	 Training loss: 1.30
Gradient step: 1599 	 Performance: 0.77 	 Training loss: 1.28
Gradient step: 1624 	 Performance: 0.835 	 Training loss: 1.28
Gradient step: 1649 	 Performance: 0.835 	 Training loss: 1.26
Gradient step: 1674 	 Performance: 0.83 	 Training loss: 1.24
Gradient step: 1699 	 Performance: 0.865 	 Training loss: 1.24
Gradient step: 1724 	 Performance: 0.805 	 Training loss: 1.27
Gradient step: 1749 	 Performance: 0.83 	 Training loss: 1.24
Gradient step: 1774 	 Performance: 0.835 	 Training loss: 1.28
Gradient step: 1799 	 Performance: 0.82 	 Training loss: 1.23
Gradient step: 1824 	 Performance: 0.785 	 Training loss: 1.25
Gradient step: 1849 	 Performance: 0.84 	 Training loss: 1.28
Gradient step: 1874 	 Performance: 0.795 	 Training loss: 1.25
Gradient step: 1899 	 Performance: 0.865 	 Training loss: 1.23
Gradient step: 1924 	 Performance: 0.79 	 Training loss: 1.20
Gradient step: 1949 	 Performance: 0.85 	 Training loss: 1.22
Gradient step: 1974 	 Performance: 0.845 	 Training loss: 1.23
Gradient step: 1999 	 Performance: 0.84 	 Training loss: 1.24
Gradient step: 2024 	 Performance: 0.845 	 Training loss: 1.25
Gradient step: 2049 	 Performance: 0.82 	 Training loss: 1.24
Gradient step: 2074 	 Performance: 0.825 	 Training loss: 1.22
Gradient step: 2099 	 Performance: 0.84 	 Training loss: 1.23
Gradient step: 2124 	 Performance: 0.865 	 Training loss: 1.25
Gradient step: 2149 	 Performance: 0.835 	 Training loss: 1.24
Gradient step: 2174 	 Performance: 0.76 	 Training loss: 1.21
Gradient step: 2199 	 Performance: 0.83 	 Training loss: 1.21
Gradient step: 2224 	 Performance: 0.825 	 Training loss: 1.20
Gradient step: 2249 	 Performance: 0.835 	 Training loss: 1.23
Gradient step: 2274 	 Performance: 0.82 	 Training loss: 1.22
Gradient step: 2299 	 Performance: 0.835 	 Training loss: 1.22
Gradient step: 2324 	 Performance: 0.87 	 Training loss: 1.22
Gradient step: 2349 	 Performance: 0.855 	 Training loss: 1.20
Gradient step: 2374 	 Performance: 0.79 	 Training loss: 1.19
Gradient step: 2399 	 Performance: 0.8 	 Training loss: 1.24
Gradient step: 2424 	 Performance: 0.795 	 Training loss: 1.22
Gradient step: 2449 	 Performance: 0.81 	 Training loss: 1.21
Gradient step: 2474 	 Performance: 0.86 	 Training loss: 1.20
Gradient step: 2499 	 Performance: 0.755 	 Training loss: 1.23
Gradient step: 2524 	 Performance: 0.835 	 Training loss: 1.20
Gradient step: 2549 	 Performance: 0.79 	 Training loss: 1.21
Gradient step: 2574 	 Performance: 0.79 	 Training loss: 1.22
Gradient step: 2599 	 Performance: 0.85 	 Training loss: 1.22
Gradient step: 2624 	 Performance: 0.86 	 Training loss: 1.24
Gradient step: 2649 	 Performance: 0.815 	 Training loss: 1.23
Gradient step: 2674 	 Performance: 0.8 	 Training loss: 1.24
Gradient step: 2699 	 Performance: 0.825 	 Training loss: 1.21
Gradient step: 2724 	 Performance: 0.79 	 Training loss: 1.22
Gradient step: 2749 	 Performance: 0.855 	 Training loss: 1.23
Gradient step: 2774 	 Performance: 0.87 	 Training loss: 1.24
Gradient step: 2799 	 Performance: 0.845 	 Training loss: 1.23
Gradient step: 2824 	 Performance: 0.86 	 Training loss: 1.21
Gradient step: 2849 	 Performance: 0.835 	 Training loss: 1.20
Gradient step: 2874 	 Performance: 0.795 	 Training loss: 1.23
Gradient step: 2899 	 Performance: 0.82 	 Training loss: 1.21
