Gradient step: 0 	 Performance: 0.02 	 Training loss: 3.15
Gradient step: 24 	 Performance: 0.065 	 Training loss: 49.17
Gradient step: 49 	 Performance: 0.1 	 Training loss: 47.00
Gradient step: 74 	 Performance: 0.075 	 Training loss: 43.29
Gradient step: 99 	 Performance: 0.055 	 Training loss: 39.97
Gradient step: 124 	 Performance: 0.06 	 Training loss: 37.18
Gradient step: 149 	 Performance: 0.0 	 Training loss: 34.37
Gradient step: 174 	 Performance: 0.07 	 Training loss: 30.06
Gradient step: 199 	 Performance: 0.055 	 Training loss: 24.52
Gradient step: 224 	 Performance: 0.09 	 Training loss: 22.71
Gradient step: 249 	 Performance: 0.075 	 Training loss: 21.74
Gradient step: 274 	 Performance: 0.065 	 Training loss: 20.95
Gradient step: 299 	 Performance: 0.045 	 Training loss: 20.17
Gradient step: 324 	 Performance: 0.115 	 Training loss: 19.38
Gradient step: 349 	 Performance: 0.54 	 Training loss: 18.59
Gradient step: 374 	 Performance: 0.565 	 Training loss: 17.78
Gradient step: 399 	 Performance: 0.855 	 Training loss: 16.93
Gradient step: 424 	 Performance: 0.875 	 Training loss: 16.11
Gradient step: 449 	 Performance: 0.955 	 Training loss: 15.23
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/None/rtantiseqr/None' created successfully!
Gradient step: 0 	 Performance: 0.025 	 Training loss: 2.98
Gradient step: 24 	 Performance: 0.05 	 Training loss: 49.72
Gradient step: 49 	 Performance: 0.06 	 Training loss: 46.56
Gradient step: 74 	 Performance: 0.05 	 Training loss: 38.18
Gradient step: 99 	 Performance: 0.045 	 Training loss: 29.35
Gradient step: 124 	 Performance: 0.055 	 Training loss: 26.39
Gradient step: 149 	 Performance: 0.075 	 Training loss: 24.72
Gradient step: 174 	 Performance: 0.06 	 Training loss: 23.65
Gradient step: 199 	 Performance: 0.025 	 Training loss: 22.80
Gradient step: 224 	 Performance: 0.0 	 Training loss: 21.94
Gradient step: 249 	 Performance: 0.055 	 Training loss: 21.11
Gradient step: 274 	 Performance: 0.0 	 Training loss: 20.26
Gradient step: 299 	 Performance: 0.105 	 Training loss: 19.37
Gradient step: 324 	 Performance: 0.34 	 Training loss: 18.35
Gradient step: 349 	 Performance: 0.4 	 Training loss: 17.36
Gradient step: 374 	 Performance: 0.45 	 Training loss: 16.35
Gradient step: 399 	 Performance: 0.65 	 Training loss: 15.32
