Gradient step: 0 	 Performance: 0.045 	 Training loss: 3.83
Gradient step: 24 	 Performance: 0.105 	 Training loss: 31.88
Gradient step: 49 	 Performance: 0.07 	 Training loss: 20.64
Gradient step: 74 	 Performance: 0.075 	 Training loss: 17.78
Gradient step: 99 	 Performance: 0.07 	 Training loss: 16.96
Gradient step: 124 	 Performance: 0.065 	 Training loss: 16.51
Gradient step: 149 	 Performance: 0.075 	 Training loss: 16.33
Gradient step: 174 	 Performance: 0.08 	 Training loss: 16.13
Gradient step: 199 	 Performance: 0.11 	 Training loss: 15.86
Gradient step: 224 	 Performance: 0.16 	 Training loss: 15.30
Gradient step: 249 	 Performance: 0.16 	 Training loss: 14.01
Gradient step: 274 	 Performance: 0.3 	 Training loss: 12.10
Gradient step: 299 	 Performance: 0.265 	 Training loss: 10.36
Gradient step: 324 	 Performance: 0.39 	 Training loss: 8.94
Gradient step: 349 	 Performance: 0.405 	 Training loss: 8.14
Gradient step: 374 	 Performance: 0.36 	 Training loss: 7.59
Gradient step: 399 	 Performance: 0.455 	 Training loss: 6.76
Gradient step: 424 	 Performance: 0.5 	 Training loss: 6.38
Gradient step: 449 	 Performance: 0.615 	 Training loss: 5.96
Gradient step: 474 	 Performance: 0.555 	 Training loss: 5.52
Gradient step: 499 	 Performance: 0.675 	 Training loss: 5.19
Gradient step: 524 	 Performance: 0.66 	 Training loss: 4.75
Gradient step: 549 	 Performance: 0.695 	 Training loss: 4.41
Gradient step: 574 	 Performance: 0.72 	 Training loss: 4.12
Gradient step: 599 	 Performance: 0.705 	 Training loss: 3.66
Gradient step: 624 	 Performance: 0.705 	 Training loss: 3.68
Gradient step: 649 	 Performance: 0.81 	 Training loss: 3.34
Gradient step: 674 	 Performance: 0.82 	 Training loss: 2.99
Gradient step: 699 	 Performance: 0.88 	 Training loss: 2.47
Gradient step: 724 	 Performance: 0.94 	 Training loss: 2.19
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/None/dlyantiintl/None' already exists!
Gradient step: 0 	 Performance: 0.045 	 Training loss: 2.99
Gradient step: 24 	 Performance: 0.035 	 Training loss: 28.71
Gradient step: 49 	 Performance: 0.04 	 Training loss: 20.18
Gradient step: 74 	 Performance: 0.08 	 Training loss: 17.47
Gradient step: 99 	 Performance: 0.05 	 Training loss: 16.84
Gradient step: 124 	 Performance: 0.05 	 Training loss: 16.45
Gradient step: 149 	 Performance: 0.09 	 Training loss: 16.29
Gradient step: 174 	 Performance: 0.115 	 Training loss: 16.16
Gradient step: 199 	 Performance: 0.065 	 Training loss: 15.84
Gradient step: 224 	 Performance: 0.085 	 Training loss: 15.49
Gradient step: 249 	 Performance: 0.045 	 Training loss: 15.02
Gradient step: 274 	 Performance: 0.125 	 Training loss: 14.69
Gradient step: 299 	 Performance: 0.085 	 Training loss: 14.11
Gradient step: 324 	 Performance: 0.14 	 Training loss: 13.44
Gradient step: 349 	 Performance: 0.105 	 Training loss: 12.53
Gradient step: 374 	 Performance: 0.195 	 Training loss: 11.53
Gradient step: 399 	 Performance: 0.22 	 Training loss: 10.34
Gradient step: 424 	 Performance: 0.355 	 Training loss: 9.39
Gradient step: 449 	 Performance: 0.46 	 Training loss: 8.32
Gradient step: 474 	 Performance: 0.495 	 Training loss: 7.35
Gradient step: 499 	 Performance: 0.615 	 Training loss: 6.48
Gradient step: 524 	 Performance: 0.68 	 Training loss: 5.61
Gradient step: 549 	 Performance: 0.67 	 Training loss: 4.95
Gradient step: 574 	 Performance: 0.775 	 Training loss: 4.42
Gradient step: 599 	 Performance: 0.76 	 Training loss: 3.89
Gradient step: 624 	 Performance: 0.865 	 Training loss: 3.38
Gradient step: 649 	 Performance: 0.88 	 Training loss: 2.90
Gradient step: 674 	 Performance: 0.92 	 Training loss: 2.53
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/dlyantiintl/conformal' already exists!
Gradient step: 0 	 Performance: 0.05 	 Training loss: 3.82
Gradient step: 24 	 Performance: 0.065 	 Training loss: 31.06
Gradient step: 49 	 Performance: 0.09 	 Training loss: 19.54
Gradient step: 74 	 Performance: 0.055 	 Training loss: 17.31
Gradient step: 99 	 Performance: 0.09 	 Training loss: 16.71
Gradient step: 124 	 Performance: 0.075 	 Training loss: 16.32
Gradient step: 149 	 Performance: 0.055 	 Training loss: 16.11
Gradient step: 174 	 Performance: 0.055 	 Training loss: 15.90
Gradient step: 199 	 Performance: 0.07 	 Training loss: 15.32
Gradient step: 224 	 Performance: 0.155 	 Training loss: 14.04
Gradient step: 249 	 Performance: 0.225 	 Training loss: 11.83
Gradient step: 274 	 Performance: 0.33 	 Training loss: 9.98
Gradient step: 299 	 Performance: 0.275 	 Training loss: 8.89
Gradient step: 324 	 Performance: 0.305 	 Training loss: 7.91
Gradient step: 349 	 Performance: 0.375 	 Training loss: 7.19
Gradient step: 374 	 Performance: 0.575 	 Training loss: 6.77
Gradient step: 399 	 Performance: 0.62 	 Training loss: 5.88
Gradient step: 424 	 Performance: 0.555 	 Training loss: 5.59
Gradient step: 449 	 Performance: 0.665 	 Training loss: 4.88
Gradient step: 474 	 Performance: 0.725 	 Training loss: 4.52
Gradient step: 499 	 Performance: 0.735 	 Training loss: 4.19
Gradient step: 524 	 Performance: 0.75 	 Training loss: 3.78
Gradient step: 549 	 Performance: 0.74 	 Training loss: 4.09
Gradient step: 574 	 Performance: 0.72 	 Training loss: 5.10
Gradient step: 599 	 Performance: 0.91 	 Training loss: 2.96
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/dlyantiintl/None' created successfully!
Gradient step: 0 	 Performance: 0.06 	 Training loss: 2.99
Gradient step: 24 	 Performance: 0.05 	 Training loss: 26.11
Gradient step: 49 	 Performance: 0.075 	 Training loss: 19.20
Gradient step: 74 	 Performance: 0.105 	 Training loss: 17.28
Gradient step: 99 	 Performance: 0.085 	 Training loss: 16.83
Gradient step: 124 	 Performance: 0.085 	 Training loss: 16.37
Gradient step: 149 	 Performance: 0.06 	 Training loss: 16.21
Gradient step: 174 	 Performance: 0.095 	 Training loss: 16.02
Gradient step: 199 	 Performance: 0.16 	 Training loss: 15.63
Gradient step: 224 	 Performance: 0.105 	 Training loss: 15.31
Gradient step: 249 	 Performance: 0.085 	 Training loss: 14.71
Gradient step: 274 	 Performance: 0.145 	 Training loss: 14.26
Gradient step: 299 	 Performance: 0.11 	 Training loss: 13.42
Gradient step: 324 	 Performance: 0.155 	 Training loss: 12.37
Gradient step: 349 	 Performance: 0.285 	 Training loss: 11.22
Gradient step: 374 	 Performance: 0.295 	 Training loss: 10.23
Gradient step: 399 	 Performance: 0.345 	 Training loss: 9.04
Gradient step: 424 	 Performance: 0.47 	 Training loss: 8.05
Gradient step: 449 	 Performance: 0.605 	 Training loss: 7.31
Gradient step: 474 	 Performance: 0.555 	 Training loss: 6.36
Gradient step: 499 	 Performance: 0.555 	 Training loss: 5.75
Gradient step: 524 	 Performance: 0.745 	 Training loss: 5.00
Gradient step: 549 	 Performance: 0.775 	 Training loss: 4.22
Gradient step: 574 	 Performance: 0.755 	 Training loss: 3.71
Gradient step: 599 	 Performance: 0.805 	 Training loss: 3.12
Gradient step: 624 	 Performance: 0.89 	 Training loss: 2.77
Gradient step: 649 	 Performance: 0.85 	 Training loss: 2.49
Gradient step: 674 	 Performance: 0.94 	 Training loss: 2.09
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/spectral/dlyantiintl/conformal' created successfully!
Gradient step: 0 	 Performance: 0.06 	 Training loss: 3.82
Gradient step: 24 	 Performance: 0.045 	 Training loss: 33.59
Gradient step: 49 	 Performance: 0.06 	 Training loss: 20.86
Gradient step: 74 	 Performance: 0.045 	 Training loss: 17.89
Gradient step: 99 	 Performance: 0.05 	 Training loss: 16.91
Gradient step: 124 	 Performance: 0.085 	 Training loss: 16.50
Gradient step: 149 	 Performance: 0.06 	 Training loss: 16.36
Gradient step: 174 	 Performance: 0.055 	 Training loss: 16.22
Gradient step: 199 	 Performance: 0.115 	 Training loss: 16.01
Gradient step: 224 	 Performance: 0.1 	 Training loss: 15.68
Gradient step: 249 	 Performance: 0.16 	 Training loss: 14.79
Gradient step: 274 	 Performance: 0.21 	 Training loss: 13.37
Gradient step: 299 	 Performance: 0.305 	 Training loss: 11.38
Gradient step: 324 	 Performance: 0.19 	 Training loss: 9.79
Gradient step: 349 	 Performance: 0.315 	 Training loss: 9.20
Gradient step: 374 	 Performance: 0.35 	 Training loss: 8.01
Gradient step: 399 	 Performance: 0.445 	 Training loss: 7.38
Gradient step: 424 	 Performance: 0.505 	 Training loss: 6.57
Gradient step: 449 	 Performance: 0.56 	 Training loss: 5.88
Gradient step: 474 	 Performance: 0.57 	 Training loss: 5.56
Gradient step: 499 	 Performance: 0.65 	 Training loss: 5.20
Gradient step: 524 	 Performance: 0.625 	 Training loss: 4.65
Gradient step: 549 	 Performance: 0.635 	 Training loss: 4.15
Gradient step: 574 	 Performance: 0.61 	 Training loss: 4.06
Gradient step: 599 	 Performance: 0.805 	 Training loss: 3.65
Gradient step: 624 	 Performance: 0.685 	 Training loss: 3.45
Gradient step: 649 	 Performance: 0.835 	 Training loss: 3.13
Gradient step: 674 	 Performance: 0.835 	 Training loss: 2.94
Gradient step: 699 	 Performance: 0.91 	 Training loss: 2.26
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/spectral/dlyantiintl/None' created successfully!
