Gradient step: 0 	 Performance: 0.075 	 Training loss: 2.99
Gradient step: 24 	 Performance: 0.06 	 Training loss: 46.06
Gradient step: 49 	 Performance: 0.06 	 Training loss: 24.10
Gradient step: 74 	 Performance: 0.08 	 Training loss: 20.89
Gradient step: 99 	 Performance: 0.08 	 Training loss: 19.59
Gradient step: 124 	 Performance: 0.075 	 Training loss: 18.28
Gradient step: 149 	 Performance: 0.12 	 Training loss: 17.08
Gradient step: 174 	 Performance: 0.175 	 Training loss: 16.00
Gradient step: 199 	 Performance: 0.135 	 Training loss: 14.90
Gradient step: 224 	 Performance: 0.19 	 Training loss: 13.93
Gradient step: 249 	 Performance: 0.3 	 Training loss: 13.03
Gradient step: 274 	 Performance: 0.265 	 Training loss: 12.48
Gradient step: 299 	 Performance: 0.315 	 Training loss: 11.72
Gradient step: 324 	 Performance: 0.35 	 Training loss: 11.34
Gradient step: 349 	 Performance: 0.4 	 Training loss: 10.59
Gradient step: 374 	 Performance: 0.38 	 Training loss: 9.98
Gradient step: 399 	 Performance: 0.48 	 Training loss: 9.25
Gradient step: 424 	 Performance: 0.47 	 Training loss: 8.67
Gradient step: 449 	 Performance: 0.68 	 Training loss: 8.31
Gradient step: 474 	 Performance: 0.68 	 Training loss: 7.89
Gradient step: 499 	 Performance: 0.7 	 Training loss: 7.30
Gradient step: 524 	 Performance: 0.645 	 Training loss: 6.83
Gradient step: 549 	 Performance: 0.77 	 Training loss: 6.45
Gradient step: 574 	 Performance: 0.735 	 Training loss: 5.89
Gradient step: 599 	 Performance: 0.83 	 Training loss: 5.59
Gradient step: 624 	 Performance: 0.795 	 Training loss: 4.95
Gradient step: 649 	 Performance: 0.825 	 Training loss: 5.30
Gradient step: 674 	 Performance: 0.675 	 Training loss: 4.42
Gradient step: 699 	 Performance: 0.885 	 Training loss: 4.20
Gradient step: 724 	 Performance: 0.895 	 Training loss: 4.10
Gradient step: 749 	 Performance: 0.84 	 Training loss: 3.74
Gradient step: 774 	 Performance: 0.81 	 Training loss: 3.72
Gradient step: 799 	 Performance: 0.905 	 Training loss: 3.23
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/None/dlydm1seqr/None' already exists!
Gradient step: 0 	 Performance: 0.055 	 Training loss: 3.06
Gradient step: 24 	 Performance: 0.06 	 Training loss: 32.86
Gradient step: 49 	 Performance: 0.06 	 Training loss: 22.09
Gradient step: 74 	 Performance: 0.09 	 Training loss: 19.56
Gradient step: 99 	 Performance: 0.145 	 Training loss: 17.43
Gradient step: 124 	 Performance: 0.28 	 Training loss: 14.12
Gradient step: 149 	 Performance: 0.42 	 Training loss: 11.16
Gradient step: 174 	 Performance: 0.47 	 Training loss: 8.85
Gradient step: 199 	 Performance: 0.51 	 Training loss: 7.95
Gradient step: 224 	 Performance: 0.555 	 Training loss: 7.07
Gradient step: 249 	 Performance: 0.685 	 Training loss: 6.74
Gradient step: 274 	 Performance: 0.6 	 Training loss: 6.26
Gradient step: 299 	 Performance: 0.725 	 Training loss: 5.66
Gradient step: 324 	 Performance: 0.72 	 Training loss: 5.44
Gradient step: 349 	 Performance: 0.72 	 Training loss: 5.04
Gradient step: 374 	 Performance: 0.76 	 Training loss: 4.82
Gradient step: 399 	 Performance: 0.775 	 Training loss: 4.82
Gradient step: 424 	 Performance: 0.83 	 Training loss: 4.36
Gradient step: 449 	 Performance: 0.785 	 Training loss: 4.06
Gradient step: 474 	 Performance: 0.85 	 Training loss: 3.93
Gradient step: 499 	 Performance: 0.845 	 Training loss: 3.69
Gradient step: 524 	 Performance: 0.82 	 Training loss: 3.75
Gradient step: 549 	 Performance: 0.835 	 Training loss: 3.72
Gradient step: 574 	 Performance: 0.85 	 Training loss: 3.28
Gradient step: 599 	 Performance: 0.89 	 Training loss: 3.08
Gradient step: 624 	 Performance: 0.925 	 Training loss: 2.98
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/dlydm1seqr/conformal' already exists!
Gradient step: 0 	 Performance: 0.06 	 Training loss: 2.99
Gradient step: 24 	 Performance: 0.055 	 Training loss: 51.37
Gradient step: 49 	 Performance: 0.07 	 Training loss: 24.62
Gradient step: 74 	 Performance: 0.055 	 Training loss: 21.12
Gradient step: 99 	 Performance: 0.05 	 Training loss: 19.70
Gradient step: 124 	 Performance: 0.05 	 Training loss: 18.33
Gradient step: 149 	 Performance: 0.225 	 Training loss: 16.85
Gradient step: 174 	 Performance: 0.2 	 Training loss: 15.97
Gradient step: 199 	 Performance: 0.16 	 Training loss: 15.15
Gradient step: 224 	 Performance: 0.22 	 Training loss: 14.24
Gradient step: 249 	 Performance: 0.16 	 Training loss: 13.33
Gradient step: 274 	 Performance: 0.405 	 Training loss: 12.37
Gradient step: 299 	 Performance: 0.435 	 Training loss: 11.89
Gradient step: 324 	 Performance: 0.415 	 Training loss: 11.41
Gradient step: 349 	 Performance: 0.315 	 Training loss: 11.15
Gradient step: 374 	 Performance: 0.585 	 Training loss: 10.22
Gradient step: 399 	 Performance: 0.495 	 Training loss: 9.65
Gradient step: 424 	 Performance: 0.48 	 Training loss: 8.99
Gradient step: 449 	 Performance: 0.6 	 Training loss: 8.35
Gradient step: 474 	 Performance: 0.52 	 Training loss: 7.69
Gradient step: 499 	 Performance: 0.68 	 Training loss: 7.41
Gradient step: 524 	 Performance: 0.76 	 Training loss: 6.69
Gradient step: 549 	 Performance: 0.755 	 Training loss: 6.17
Gradient step: 574 	 Performance: 0.83 	 Training loss: 5.64
Gradient step: 599 	 Performance: 0.855 	 Training loss: 5.06
Gradient step: 624 	 Performance: 0.83 	 Training loss: 4.65
