Gradient step: 0 	 Performance: 0.02 	 Training loss: 3.95
Gradient step: 24 	 Performance: 0.085 	 Training loss: 19.64
Gradient step: 49 	 Performance: 0.07 	 Training loss: 14.93
Gradient step: 74 	 Performance: 0.065 	 Training loss: 14.06
Gradient step: 99 	 Performance: 0.075 	 Training loss: 13.19
Gradient step: 124 	 Performance: 0.05 	 Training loss: 12.28
Gradient step: 149 	 Performance: 0.085 	 Training loss: 11.14
Gradient step: 174 	 Performance: 0.06 	 Training loss: 9.77
Gradient step: 199 	 Performance: 0.095 	 Training loss: 7.73
Gradient step: 224 	 Performance: 0.09 	 Training loss: 6.75
Gradient step: 249 	 Performance: 0.115 	 Training loss: 6.20
Gradient step: 274 	 Performance: 0.315 	 Training loss: 5.74
Gradient step: 299 	 Performance: 0.375 	 Training loss: 5.41
Gradient step: 324 	 Performance: 0.41 	 Training loss: 5.18
Gradient step: 349 	 Performance: 0.46 	 Training loss: 4.93
Gradient step: 374 	 Performance: 0.585 	 Training loss: 4.66
Gradient step: 399 	 Performance: 0.57 	 Training loss: 4.48
Gradient step: 424 	 Performance: 0.595 	 Training loss: 4.21
Gradient step: 449 	 Performance: 0.605 	 Training loss: 4.00
Gradient step: 474 	 Performance: 0.69 	 Training loss: 3.85
Gradient step: 499 	 Performance: 0.64 	 Training loss: 3.61
Gradient step: 524 	 Performance: 0.785 	 Training loss: 3.46
Gradient step: 549 	 Performance: 0.855 	 Training loss: 3.30
Gradient step: 574 	 Performance: 0.645 	 Training loss: 3.30
Gradient step: 599 	 Performance: 0.79 	 Training loss: 2.97
Gradient step: 624 	 Performance: 0.855 	 Training loss: 2.90
Gradient step: 649 	 Performance: 0.84 	 Training loss: 2.72
Gradient step: 674 	 Performance: 0.86 	 Training loss: 2.61
Gradient step: 699 	 Performance: 0.795 	 Training loss: 2.48
Gradient step: 724 	 Performance: 0.855 	 Training loss: 2.36
Gradient step: 749 	 Performance: 0.83 	 Training loss: 2.32
Gradient step: 774 	 Performance: 0.85 	 Training loss: 2.21
Gradient step: 799 	 Performance: 0.905 	 Training loss: 2.03
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/None/dlydm1intr/None' created successfully!
Gradient step: 0 	 Performance: 0.06 	 Training loss: 3.00
Gradient step: 24 	 Performance: 0.095 	 Training loss: 19.79
Gradient step: 49 	 Performance: 0.07 	 Training loss: 14.87
Gradient step: 74 	 Performance: 0.055 	 Training loss: 13.49
Gradient step: 99 	 Performance: 0.055 	 Training loss: 11.63
Gradient step: 124 	 Performance: 0.05 	 Training loss: 9.36
Gradient step: 149 	 Performance: 0.04 	 Training loss: 7.92
Gradient step: 174 	 Performance: 0.155 	 Training loss: 6.76
Gradient step: 199 	 Performance: 0.135 	 Training loss: 5.91
Gradient step: 224 	 Performance: 0.365 	 Training loss: 5.35
Gradient step: 249 	 Performance: 0.345 	 Training loss: 4.90
Gradient step: 274 	 Performance: 0.5 	 Training loss: 4.51
Gradient step: 299 	 Performance: 0.475 	 Training loss: 4.18
Gradient step: 324 	 Performance: 0.64 	 Training loss: 3.96
Gradient step: 349 	 Performance: 0.61 	 Training loss: 3.65
Gradient step: 374 	 Performance: 0.57 	 Training loss: 3.41
Gradient step: 399 	 Performance: 0.705 	 Training loss: 3.22
Gradient step: 424 	 Performance: 0.735 	 Training loss: 3.02
Gradient step: 449 	 Performance: 0.735 	 Training loss: 2.83
Gradient step: 474 	 Performance: 0.77 	 Training loss: 2.61
Gradient step: 499 	 Performance: 0.775 	 Training loss: 2.47
Gradient step: 524 	 Performance: 0.815 	 Training loss: 2.28
Gradient step: 549 	 Performance: 0.765 	 Training loss: 2.19
Gradient step: 574 	 Performance: 0.82 	 Training loss: 2.05
Gradient step: 599 	 Performance: 0.83 	 Training loss: 1.91
Gradient step: 624 	 Performance: 0.865 	 Training loss: 1.84
Gradient step: 649 	 Performance: 0.88 	 Training loss: 1.77
Gradient step: 674 	 Performance: 0.865 	 Training loss: 1.66
Gradient step: 699 	 Performance: 0.855 	 Training loss: 1.58
Gradient step: 724 	 Performance: 0.915 	 Training loss: 1.52
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/dlydm1intr/conformal' created successfully!
