Gradient step: 0 	 Performance: 0.075 	 Training loss: 3.55
Gradient step: 24 	 Performance: 0.085 	 Training loss: 18.74
Gradient step: 49 	 Performance: 0.06 	 Training loss: 14.67
Gradient step: 74 	 Performance: 0.075 	 Training loss: 13.76
Gradient step: 99 	 Performance: 0.07 	 Training loss: 12.80
Gradient step: 124 	 Performance: 0.07 	 Training loss: 11.73
Gradient step: 149 	 Performance: 0.07 	 Training loss: 10.64
Gradient step: 174 	 Performance: 0.065 	 Training loss: 9.63
Gradient step: 199 	 Performance: 0.125 	 Training loss: 8.57
Gradient step: 224 	 Performance: 0.135 	 Training loss: 7.22
Gradient step: 249 	 Performance: 0.21 	 Training loss: 6.11
Gradient step: 274 	 Performance: 0.36 	 Training loss: 5.53
Gradient step: 299 	 Performance: 0.37 	 Training loss: 5.19
Gradient step: 324 	 Performance: 0.4 	 Training loss: 4.83
Gradient step: 349 	 Performance: 0.475 	 Training loss: 4.56
Gradient step: 374 	 Performance: 0.53 	 Training loss: 4.30
Gradient step: 399 	 Performance: 0.63 	 Training loss: 4.09
Gradient step: 424 	 Performance: 0.635 	 Training loss: 3.85
Gradient step: 449 	 Performance: 0.705 	 Training loss: 3.65
Gradient step: 474 	 Performance: 0.785 	 Training loss: 3.43
Gradient step: 499 	 Performance: 0.73 	 Training loss: 3.23
Gradient step: 524 	 Performance: 0.705 	 Training loss: 3.16
Gradient step: 549 	 Performance: 0.83 	 Training loss: 2.95
Gradient step: 574 	 Performance: 0.835 	 Training loss: 2.92
Gradient step: 599 	 Performance: 0.85 	 Training loss: 2.60
Gradient step: 624 	 Performance: 0.915 	 Training loss: 2.48
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/None/ctxdlydm1intl/None' created successfully!
Gradient step: 0 	 Performance: 0.085 	 Training loss: 2.58
Gradient step: 24 	 Performance: 0.055 	 Training loss: 18.06
Gradient step: 49 	 Performance: 0.05 	 Training loss: 14.49
Gradient step: 74 	 Performance: 0.06 	 Training loss: 13.05
Gradient step: 99 	 Performance: 0.06 	 Training loss: 10.86
Gradient step: 124 	 Performance: 0.05 	 Training loss: 8.58
Gradient step: 149 	 Performance: 0.09 	 Training loss: 7.39
Gradient step: 174 	 Performance: 0.215 	 Training loss: 6.43
Gradient step: 199 	 Performance: 0.225 	 Training loss: 5.49
Gradient step: 224 	 Performance: 0.375 	 Training loss: 4.83
Gradient step: 249 	 Performance: 0.43 	 Training loss: 4.37
Gradient step: 274 	 Performance: 0.665 	 Training loss: 3.97
Gradient step: 299 	 Performance: 0.65 	 Training loss: 3.61
Gradient step: 324 	 Performance: 0.675 	 Training loss: 3.32
Gradient step: 349 	 Performance: 0.715 	 Training loss: 3.03
Gradient step: 374 	 Performance: 0.755 	 Training loss: 2.79
Gradient step: 399 	 Performance: 0.765 	 Training loss: 2.60
Gradient step: 424 	 Performance: 0.785 	 Training loss: 2.43
Gradient step: 449 	 Performance: 0.825 	 Training loss: 2.23
Gradient step: 474 	 Performance: 0.83 	 Training loss: 2.11
Gradient step: 499 	 Performance: 0.835 	 Training loss: 1.98
Gradient step: 524 	 Performance: 0.89 	 Training loss: 1.83
Gradient step: 549 	 Performance: 0.82 	 Training loss: 1.74
Gradient step: 574 	 Performance: 0.895 	 Training loss: 1.65
Gradient step: 599 	 Performance: 0.905 	 Training loss: 1.52
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/ctxdlydm1intl/conformal' created successfully!
Gradient step: 0 	 Performance: 0.055 	 Training loss: 3.55
Gradient step: 24 	 Performance: 0.12 	 Training loss: 18.92
Gradient step: 49 	 Performance: 0.04 	 Training loss: 14.80
Gradient step: 74 	 Performance: 0.065 	 Training loss: 13.85
Gradient step: 99 	 Performance: 0.05 	 Training loss: 12.79
Gradient step: 124 	 Performance: 0.05 	 Training loss: 11.73
Gradient step: 149 	 Performance: 0.09 	 Training loss: 10.64
Gradient step: 174 	 Performance: 0.075 	 Training loss: 9.63
Gradient step: 199 	 Performance: 0.12 	 Training loss: 8.59
Gradient step: 224 	 Performance: 0.135 	 Training loss: 7.46
Gradient step: 249 	 Performance: 0.155 	 Training loss: 6.32
Gradient step: 274 	 Performance: 0.325 	 Training loss: 5.57
Gradient step: 299 	 Performance: 0.485 	 Training loss: 5.16
Gradient step: 324 	 Performance: 0.41 	 Training loss: 4.83
Gradient step: 349 	 Performance: 0.415 	 Training loss: 4.59
Gradient step: 374 	 Performance: 0.64 	 Training loss: 4.35
Gradient step: 399 	 Performance: 0.625 	 Training loss: 4.09
Gradient step: 424 	 Performance: 0.705 	 Training loss: 3.85
Gradient step: 449 	 Performance: 0.655 	 Training loss: 3.68
Gradient step: 474 	 Performance: 0.76 	 Training loss: 3.48
Gradient step: 499 	 Performance: 0.745 	 Training loss: 3.28
Gradient step: 524 	 Performance: 0.835 	 Training loss: 3.11
Gradient step: 549 	 Performance: 0.81 	 Training loss: 2.99
Gradient step: 574 	 Performance: 0.805 	 Training loss: 2.77
Gradient step: 599 	 Performance: 0.92 	 Training loss: 2.62
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/ctxdlydm1intl/None' created successfully!
Gradient step: 0 	 Performance: 0.065 	 Training loss: 2.59
Gradient step: 24 	 Performance: 0.05 	 Training loss: 18.04
Gradient step: 49 	 Performance: 0.055 	 Training loss: 14.46
Gradient step: 74 	 Performance: 0.07 	 Training loss: 12.99
Gradient step: 99 	 Performance: 0.07 	 Training loss: 10.91
Gradient step: 124 	 Performance: 0.085 	 Training loss: 8.55
Gradient step: 149 	 Performance: 0.08 	 Training loss: 7.32
Gradient step: 174 	 Performance: 0.195 	 Training loss: 6.43
Gradient step: 199 	 Performance: 0.265 	 Training loss: 5.51
Gradient step: 224 	 Performance: 0.265 	 Training loss: 4.80
Gradient step: 249 	 Performance: 0.525 	 Training loss: 4.35
Gradient step: 274 	 Performance: 0.62 	 Training loss: 3.96
Gradient step: 299 	 Performance: 0.625 	 Training loss: 3.60
Gradient step: 324 	 Performance: 0.735 	 Training loss: 3.32
Gradient step: 349 	 Performance: 0.795 	 Training loss: 3.10
Gradient step: 374 	 Performance: 0.715 	 Training loss: 2.86
Gradient step: 399 	 Performance: 0.815 	 Training loss: 2.59
Gradient step: 424 	 Performance: 0.81 	 Training loss: 2.45
Gradient step: 449 	 Performance: 0.825 	 Training loss: 2.28
Gradient step: 474 	 Performance: 0.84 	 Training loss: 2.12
Gradient step: 499 	 Performance: 0.84 	 Training loss: 1.97
Gradient step: 524 	 Performance: 0.81 	 Training loss: 1.84
Gradient step: 549 	 Performance: 0.855 	 Training loss: 1.75
Gradient step: 574 	 Performance: 0.89 	 Training loss: 1.65
Gradient step: 599 	 Performance: 0.87 	 Training loss: 1.57
Gradient step: 624 	 Performance: 0.895 	 Training loss: 1.54
Gradient step: 649 	 Performance: 0.875 	 Training loss: 1.44
Gradient step: 674 	 Performance: 0.885 	 Training loss: 1.35
Gradient step: 699 	 Performance: 0.955 	 Training loss: 1.28
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/spectral/ctxdlydm1intl/conformal' created successfully!
Gradient step: 0 	 Performance: 0.045 	 Training loss: 3.56
Gradient step: 24 	 Performance: 0.05 	 Training loss: 18.88
Gradient step: 49 	 Performance: 0.085 	 Training loss: 14.78
Gradient step: 74 	 Performance: 0.03 	 Training loss: 13.81
Gradient step: 99 	 Performance: 0.075 	 Training loss: 12.84
Gradient step: 124 	 Performance: 0.105 	 Training loss: 11.72
Gradient step: 149 	 Performance: 0.055 	 Training loss: 10.59
Gradient step: 174 	 Performance: 0.095 	 Training loss: 9.61
Gradient step: 199 	 Performance: 0.125 	 Training loss: 8.70
Gradient step: 224 	 Performance: 0.13 	 Training loss: 7.52
Gradient step: 249 	 Performance: 0.195 	 Training loss: 6.37
Gradient step: 274 	 Performance: 0.26 	 Training loss: 5.60
Gradient step: 299 	 Performance: 0.33 	 Training loss: 5.11
Gradient step: 324 	 Performance: 0.4 	 Training loss: 4.74
Gradient step: 349 	 Performance: 0.615 	 Training loss: 4.53
Gradient step: 374 	 Performance: 0.55 	 Training loss: 4.23
Gradient step: 399 	 Performance: 0.64 	 Training loss: 3.98
