Gradient step: 0 	 Performance: 0.045 	 Training loss: 3.73
Gradient step: 24 	 Performance: 0.065 	 Training loss: 37.62
Gradient step: 49 	 Performance: 0.055 	 Training loss: 22.26
Gradient step: 74 	 Performance: 0.08 	 Training loss: 20.08
Gradient step: 99 	 Performance: 0.1 	 Training loss: 18.75
Gradient step: 124 	 Performance: 0.07 	 Training loss: 17.41
Gradient step: 149 	 Performance: 0.18 	 Training loss: 15.95
Gradient step: 174 	 Performance: 0.235 	 Training loss: 15.17
Gradient step: 199 	 Performance: 0.305 	 Training loss: 14.74
Gradient step: 224 	 Performance: 0.305 	 Training loss: 13.56
Gradient step: 249 	 Performance: 0.305 	 Training loss: 12.98
Gradient step: 274 	 Performance: 0.38 	 Training loss: 12.70
Gradient step: 299 	 Performance: 0.35 	 Training loss: 12.32
Gradient step: 324 	 Performance: 0.485 	 Training loss: 11.46
Gradient step: 349 	 Performance: 0.46 	 Training loss: 11.13
Gradient step: 374 	 Performance: 0.445 	 Training loss: 10.73
Gradient step: 399 	 Performance: 0.505 	 Training loss: 10.33
Gradient step: 424 	 Performance: 0.41 	 Training loss: 10.14
Gradient step: 449 	 Performance: 0.44 	 Training loss: 9.83
Gradient step: 474 	 Performance: 0.49 	 Training loss: 8.98
Gradient step: 499 	 Performance: 0.62 	 Training loss: 8.53
Gradient step: 524 	 Performance: 0.485 	 Training loss: 8.11
Gradient step: 549 	 Performance: 0.675 	 Training loss: 7.67
Gradient step: 574 	 Performance: 0.68 	 Training loss: 7.48
Gradient step: 599 	 Performance: 0.62 	 Training loss: 7.32
Gradient step: 624 	 Performance: 0.605 	 Training loss: 7.23
Gradient step: 649 	 Performance: 0.705 	 Training loss: 6.74
Gradient step: 674 	 Performance: 0.66 	 Training loss: 6.34
Gradient step: 699 	 Performance: 0.775 	 Training loss: 6.25
Gradient step: 724 	 Performance: 0.715 	 Training loss: 6.54
Gradient step: 749 	 Performance: 0.575 	 Training loss: 6.32
Gradient step: 774 	 Performance: 0.73 	 Training loss: 6.40
Gradient step: 799 	 Performance: 0.745 	 Training loss: 5.87
Gradient step: 824 	 Performance: 0.765 	 Training loss: 5.94
Gradient step: 849 	 Performance: 0.715 	 Training loss: 5.90
Gradient step: 874 	 Performance: 0.78 	 Training loss: 5.85
Gradient step: 899 	 Performance: 0.775 	 Training loss: 6.20
Gradient step: 924 	 Performance: 0.785 	 Training loss: 5.80
Gradient step: 949 	 Performance: 0.805 	 Training loss: 5.31
Gradient step: 974 	 Performance: 0.81 	 Training loss: 5.15
