Gradient step: 0 	 Performance: 0.07 	 Training loss: 3.17
Gradient step: 24 	 Performance: 0.08 	 Training loss: 43.36
Gradient step: 49 	 Performance: 0.035 	 Training loss: 39.25
Gradient step: 74 	 Performance: 0.065 	 Training loss: 32.38
Gradient step: 99 	 Performance: 0.045 	 Training loss: 27.85
Gradient step: 124 	 Performance: 0.09 	 Training loss: 25.64
Gradient step: 149 	 Performance: 0.08 	 Training loss: 23.55
Gradient step: 174 	 Performance: 0.085 	 Training loss: 21.28
Gradient step: 199 	 Performance: 0.085 	 Training loss: 18.99
Gradient step: 224 	 Performance: 0.155 	 Training loss: 16.90
Gradient step: 249 	 Performance: 0.215 	 Training loss: 15.04
Gradient step: 274 	 Performance: 0.275 	 Training loss: 13.42
Gradient step: 299 	 Performance: 0.465 	 Training loss: 11.98
Gradient step: 324 	 Performance: 0.495 	 Training loss: 10.85
Gradient step: 349 	 Performance: 0.72 	 Training loss: 9.80
Gradient step: 374 	 Performance: 0.63 	 Training loss: 8.50
Gradient step: 399 	 Performance: 0.63 	 Training loss: 9.01
Gradient step: 424 	 Performance: 0.715 	 Training loss: 7.35
Gradient step: 449 	 Performance: 0.635 	 Training loss: 6.33
Gradient step: 474 	 Performance: 0.835 	 Training loss: 5.59
Gradient step: 499 	 Performance: 0.755 	 Training loss: 8.36
Gradient step: 524 	 Performance: 0.825 	 Training loss: 7.75
Gradient step: 549 	 Performance: 0.725 	 Training loss: 5.38
Gradient step: 574 	 Performance: 0.84 	 Training loss: 4.53
Gradient step: 599 	 Performance: 0.855 	 Training loss: 3.99
Gradient step: 624 	 Performance: 0.935 	 Training loss: 3.50
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/None/dlyantiseqr/None' created successfully!
Gradient step: 0 	 Performance: 0.055 	 Training loss: 3.00
Gradient step: 24 	 Performance: 0.055 	 Training loss: 43.68
Gradient step: 49 	 Performance: 0.085 	 Training loss: 34.87
Gradient step: 74 	 Performance: 0.055 	 Training loss: 29.33
Gradient step: 99 	 Performance: 0.045 	 Training loss: 27.78
Gradient step: 124 	 Performance: 0.05 	 Training loss: 25.79
Gradient step: 149 	 Performance: 0.055 	 Training loss: 22.19
Gradient step: 174 	 Performance: 0.475 	 Training loss: 16.51
Gradient step: 199 	 Performance: 0.605 	 Training loss: 12.18
Gradient step: 224 	 Performance: 0.785 	 Training loss: 9.75
Gradient step: 249 	 Performance: 0.85 	 Training loss: 8.23
Gradient step: 274 	 Performance: 0.945 	 Training loss: 7.01
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/dlyantiseqr/conformal' created successfully!
Gradient step: 0 	 Performance: 0.065 	 Training loss: 3.16
Gradient step: 24 	 Performance: 0.07 	 Training loss: 43.42
Gradient step: 49 	 Performance: 0.08 	 Training loss: 39.31
Gradient step: 74 	 Performance: 0.08 	 Training loss: 32.55
Gradient step: 99 	 Performance: 0.05 	 Training loss: 27.95
Gradient step: 124 	 Performance: 0.055 	 Training loss: 25.87
Gradient step: 149 	 Performance: 0.03 	 Training loss: 23.65
Gradient step: 174 	 Performance: 0.06 	 Training loss: 21.57
Gradient step: 199 	 Performance: 0.13 	 Training loss: 19.37
Gradient step: 224 	 Performance: 0.025 	 Training loss: 17.30
Gradient step: 249 	 Performance: 0.275 	 Training loss: 15.18
Gradient step: 274 	 Performance: 0.215 	 Training loss: 14.05
Gradient step: 299 	 Performance: 0.455 	 Training loss: 12.17
Gradient step: 324 	 Performance: 0.475 	 Training loss: 10.68
Gradient step: 349 	 Performance: 0.605 	 Training loss: 10.08
Gradient step: 374 	 Performance: 0.705 	 Training loss: 8.49
Gradient step: 399 	 Performance: 0.6 	 Training loss: 7.98
Gradient step: 424 	 Performance: 0.655 	 Training loss: 7.15
Gradient step: 449 	 Performance: 0.72 	 Training loss: 6.00
Gradient step: 474 	 Performance: 0.855 	 Training loss: 5.16
Gradient step: 499 	 Performance: 0.76 	 Training loss: 6.16
Gradient step: 524 	 Performance: 0.89 	 Training loss: 4.45
Gradient step: 549 	 Performance: 0.895 	 Training loss: 3.83
Gradient step: 574 	 Performance: 0.905 	 Training loss: 3.34
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/dlyantiseqr/None' created successfully!
Gradient step: 0 	 Performance: 0.075 	 Training loss: 3.00
Gradient step: 24 	 Performance: 0.07 	 Training loss: 43.74
Gradient step: 49 	 Performance: 0.045 	 Training loss: 35.18
Gradient step: 74 	 Performance: 0.045 	 Training loss: 29.39
Gradient step: 99 	 Performance: 0.065 	 Training loss: 27.79
Gradient step: 124 	 Performance: 0.065 	 Training loss: 25.87
Gradient step: 149 	 Performance: 0.075 	 Training loss: 22.56
Gradient step: 174 	 Performance: 0.18 	 Training loss: 16.94
Gradient step: 199 	 Performance: 0.7 	 Training loss: 12.30
Gradient step: 224 	 Performance: 0.865 	 Training loss: 9.82
Gradient step: 249 	 Performance: 0.88 	 Training loss: 8.22
Gradient step: 274 	 Performance: 0.925 	 Training loss: 7.00
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/spectral/dlyantiseqr/conformal' created successfully!
Gradient step: 0 	 Performance: 0.045 	 Training loss: 3.17
Gradient step: 24 	 Performance: 0.07 	 Training loss: 43.36
Gradient step: 49 	 Performance: 0.075 	 Training loss: 39.23
Gradient step: 74 	 Performance: 0.055 	 Training loss: 32.44
Gradient step: 99 	 Performance: 0.04 	 Training loss: 27.90
Gradient step: 124 	 Performance: 0.095 	 Training loss: 25.69
Gradient step: 149 	 Performance: 0.06 	 Training loss: 23.53
Gradient step: 174 	 Performance: 0.145 	 Training loss: 21.30
Gradient step: 199 	 Performance: 0.105 	 Training loss: 19.09
Gradient step: 224 	 Performance: 0.055 	 Training loss: 16.95
Gradient step: 249 	 Performance: 0.21 	 Training loss: 15.03
Gradient step: 274 	 Performance: 0.305 	 Training loss: 13.58
